algorithm,index,str,length,time
kmp,35289,Ac,2,0.676563
kmp,1927,Al,2,0.05294
kmp,6263,Am,2,0.105739
kmp,2256,Ar,2,0.064463
kmp,26661,As,2,0.407629
kmp,1329,At,2,0.043198
kmp,2980,Ba,2,0.064998
kmp,4822,Be,2,0.084588
kmp,25808,Br,2,0.467205
kmp,22056,CD,2,0.33261
kmp,4856,Ca,2,0.086949
kmp,28119,Ci,2,0.419183
kmp,5393,Cl,2,0.091382
kmp,2984,Co,2,0.065153
kmp,27523,Cu,2,0.49782
bmh,35289,Ac,2,5.81474
bmh,1927,Al,2,0.668477
bmh,6263,Am,2,1.80368
bmh,2256,Ar,2,0.741501
bmh,26661,As,2,7.2347
bmh,1329,At,2,0.44074
bmh,2980,Ba,2,1.06967
bmh,4822,Be,2,1.47812
bmh,25808,Br,2,5.23416
bmh,22056,CD,2,4.8252
bmh,4856,Ca,2,1.73503
bmh,28119,Ci,2,6.01064
bmh,5393,Cl,2,1.58222
bmh,2984,Co,2,1.06642
bmh,27523,Cu,2,6.41681
brute,35289,Ac,2,1.04788
brute,1927,Al,2,0.366371
brute,6263,Am,2,0.348956
brute,2256,Ar,2,0.080581
brute,26661,As,2,0.794842
brute,1329,At,2,0.052853
brute,2980,Ba,2,0.101536
brute,4822,Be,2,0.153649
brute,25808,Br,2,0.860711
brute,22056,CD,2,0.69018
brute,4856,Ca,2,0.190283
brute,28119,Ci,2,0.834167
brute,5393,Cl,2,0.204338
brute,2984,Co,2,0.118746
brute,27523,Cu,2,0.928447
bitap,291,AA,2,0.026967
bitap,291,AB,2,0.024883
bitap,291,AC,2,0.025083
bitap,291,AF,2,0.026309
bitap,291,AI,2,0.028041
bitap,291,AK,2,0.025197
bitap,291,AL,2,0.028374
bitap,291,AM,2,0.027146
bitap,291,AP,2,0.025051
bitap,291,AR,2,0.02866
bitap,291,AV,2,0.043635
bitap,291,AZ,2,0.028326
bitap,291,Ac,2,0.027463
bitap,291,Ag,2,0.026484
bitap,291,Al,2,0.028967
bitap,291,Am,2,0.026599
bitap,291,Ar,2,0.027765
bitap,291,As,2,0.023626
bitap,291,At,2,0.026867
bitap,291,Au,2,0.026643
bitap,291,Av,2,0.024834
bitap,291,BA,2,0.025094
bitap,291,BB,2,0.026418
bitap,291,BC,2,0.024392
bitap,291,BM,2,0.024941
bitap,291,BO,2,0.025156
bitap,291,BP,2,0.026443
bitap,291,BS,2,0.023884
bitap,291,Ba,2,0.023859
bitap,291,Be,2,0.027311
bitap,291,Bi,2,0.027065
bitap,291,Bk,2,0.025162
bitap,291,Br,2,0.025586
bitap,291,CA,2,0.008604
bitap,291,CB,2,0.028454
bitap,291,CD,2,0.025336
bitap,291,CO,2,0.026647
bitap,291,CT,2,0.02637
bitap,291,Ca,2,0.026863
bitap,291,Cd,2,0.025535
bitap,291,Cf,2,0.024969
bitap,291,Ci,2,0.023678
bitap,291,Cl,2,0.02565
bitap,291,Cm,2,0.02504
bitap,291,Co,2,0.027501
bitap,291,Cr,2,0.026494
bitap,291,Cs,2,0.027022
bitap,291,Cu,2,0.011458
bitap,291,DA,2,0.027201
bitap,291,DC,2,0.027414
rk,35289,Ac,2,1.7176
rk,1927,Al,2,0.110808
rk,6263,Am,2,0.290401
rk,2256,Ar,2,0.130734
rk,26661,As,2,1.23709
rk,1329,At,2,0.079644
rk,2980,Ba,2,0.052575
rk,4822,Be,2,0.278377
rk,25808,Br,2,1.32157
rk,22056,CD,2,1.04183
rk,4856,Ca,2,0.264159
rk,28119,Ci,2,1.30388
rk,5393,Cl,2,0.309617
rk,2984,Co,2,0.170579
rk,27523,Cu,2,1.34665
kmp,2854,Ara,3,0.093513
bmh,2854,Ara,3,0.574787
brute,2854,Ara,3,0.098614
bitap,44483,AAA,3,0.753975
bitap,44483,ABC,3,0.76303
bitap,44483,ABM,3,0.767512
bitap,44483,ACT,3,0.624119
bitap,44483,AFC,3,0.685838
bitap,44483,AIs,3,0.824207
bitap,44483,AMA,3,0.763881
bitap,44483,AMD,3,0.7609
bitap,44483,AOL,3,0.856245
bitap,44483,API,3,0.626606
bitap,44483,APO,3,0.79043
bitap,44483,ASL,3,0.685402
bitap,44483,ATM,3,0.761865
bitap,44483,ATP,3,0.79133
bitap,44483,ATV,3,0.821249
bitap,44483,AWS,3,0.854978
bitap,44483,AZT,3,0.327355
bitap,44483,Abe,3,0.760336
bitap,44483,Ada,3,0.686486
bitap,44483,Ala,3,0.686392
bitap,44483,Ali,3,0.685572
bitap,44483,Amy,3,0.687023
bitap,44483,Ana,3,0.760278
bitap,44483,Ann,3,0.854073
bitap,44483,Apr,3,0.884665
bitap,2854,Ara,3,0.068978
bitap,44483,Ark,3,0.762348
bitap,44483,Art,3,0.625185
bitap,44483,A's,3,0.854544
bitap,44483,Ats,3,0.685903
bitap,44483,Aug,3,0.793893
bitap,44483,Ava,3,0.74842
bitap,44483,Ave,3,0.626293
bitap,44483,BBB,3,0.867795
bitap,44483,BBC,3,0.762457
bitap,44483,BBQ,3,0.625661
bitap,44483,BBS,3,0.714075
bitap,44483,BFF,3,0.624883
bitap,44483,BLT,3,0.761979
bitap,44483,BMW,3,0.890906
bitap,44483,BSD,3,0.86179
bitap,44483,BTU,3,0.686331
bitap,44483,BTW,3,0.686798
bitap,44483,Ben,3,0.854798
bitap,44483,Bib,3,0.761295
bitap,44483,Bic,3,0.854387
bitap,44483,Blu,3,0.624342
bitap,44483,Bob,3,0.528183
bitap,44483,B's,3,0.789769
bitap,44483,Btu,3,0.229026
rk,2854,Ara,3,0.147826
kmp,2854,Arab,4,0.075182
kmp,26661,Asia,4,0.505151
kmp,25808,Bran,4,0.746931
kmp,2984,Colo,4,0.076798
kmp,12968,Cong,4,0.259265
kmp,36942,Corp,4,0.682376
kmp,27523,Cuba,4,0.526554
kmp,11694,East,4,0.249458
kmp,13577,Gaul,4,0.054657
kmp,13566,Gene,4,0.294124
kmp,4829,Hill,4,0.110089
kmp,28100,Horn,4,0.526613
kmp,23425,Howe,4,0.452587
kmp,11,John,4,0.022069
kmp,26821,Laos,4,0.510665
kmp,33278,Mars,4,0.624326
kmp,124,Mass,4,0.03428
kmp,20885,More,4,0.177461
kmp,22060,NATO,4,0.46179
kmp,0,Pres,4,0.02151
bmh,2854,Arab,4,0.1017
bmh,26661,Asia,4,2.05994
bmh,25808,Bran,4,3.71147
bmh,2984,Colo,4,0.548848
bmh,12968,Cong,4,1.95236
bmh,36942,Corp,4,5.13855
bmh,27523,Cuba,4,3.79269
bmh,11694,East,4,1.68399
bmh,13577,Gaul,4,0.745296
bmh,13566,Gene,4,1.49328
bmh,4829,Hill,4,0.74949
bmh,28100,Horn,4,4.02125
bmh,23425,Howe,4,3.29859
bmh,11,John,4,0.034732
bmh,26821,Laos,4,2.21935
bmh,33278,Mars,4,1.46727
bmh,124,Mass,4,0.029637
bmh,20885,More,4,3.02208
bmh,22060,NATO,4,2.9645
bmh,0,Pres,4,0.030348
brute,2854,Arab,4,0.03381
brute,26661,Asia,4,1.19949
brute,25808,Bran,4,1.12152
brute,2984,Colo,4,0.148046
brute,12968,Cong,4,0.580385
brute,36942,Corp,4,1.60083
brute,27523,Cuba,4,1.27091
brute,11694,East,4,0.521742
brute,13577,Gaul,4,0.599344
brute,13566,Gene,4,0.607124
brute,4829,Hill,4,0.226602
brute,28100,Horn,4,1.27118
brute,23425,Howe,4,1.06166
brute,11,John,4,0.019066
brute,26821,Laos,4,0.622654
brute,33278,Mars,4,1.47739
brute,124,Mass,4,0.023959
brute,20885,More,4,0.922384
brute,22060,NATO,4,0.960803
brute,0,Pres,4,0.018546
bitap,2854,Arab,4,0.07855
bitap,26661,Asia,4,0.529188
bitap,25808,Bran,4,0.513131
bitap,2984,Colo,4,0.081823
bitap,12968,Cong,4,0.270532
bitap,36942,Corp,4,0.759415
bitap,27523,Cuba,4,0.545732
bitap,11694,East,4,0.246573
bitap,13577,Gaul,4,0.135845
bitap,13566,Gene,4,0.126765
bitap,4829,Hill,4,0.116505
bitap,28100,Horn,4,0.557895
bitap,23425,Howe,4,0.468061
bitap,11,John,4,0.024223
bitap,26821,Laos,4,0.532999
bitap,33278,Mars,4,0.222378
bitap,124,Mass,4,0.02539
bitap,20885,More,4,0.243418
bitap,22060,NATO,4,0.444594
bitap,0,Pres,4,0.025721
rk,2854,Arab,4,0.190534
rk,26661,Asia,4,1.75432
rk,25808,Bran,4,1.69719
rk,2984,Colo,4,0.210503
rk,12968,Cong,4,0.796242
rk,36942,Corp,4,2.24083
rk,27523,Cuba,4,1.80373
rk,11694,East,4,0.779304
rk,13577,Gaul,4,0.854273
rk,13566,Gene,4,0.935361
rk,4829,Hill,4,0.316585
rk,28100,Horn,4,1.84923
rk,23425,Howe,4,1.60182
rk,11,John,4,0.022362
rk,26821,Laos,4,1.71577
rk,33278,Mars,4,0.812876
rk,124,Mass,4,0.027378
rk,20885,More,4,1.46938
rk,22060,NATO,4,1.3145
rk,0,Pres,4,0.009297
kmp,28791,China,5,0.208305
kmp,2984,Colon,5,0.082038
kmp,27095,Congo,5,0.510267
kmp,27706,Cuban,5,0.529325
kmp,4931,God's,5,0.15155
kmp,16622,Gross,5,0.343446
kmp,13082,House,5,0.053678
kmp,26778,India,5,0.508832
kmp,5281,Johns,5,0.023645
kmp,27403,Latin,5,0.123501
kmp,33278,Marsh,5,0.245382
kmp,20589,Monet,5,0.384351
kmp,13536,Nehru,5,0.262681
kmp,44019,Niger,5,0.861279
kmp,5359,Nixon,5,0.125254
kmp,11677,North,5,0.250415
kmp,35992,Peace,5,0.179317
kmp,565,South,5,0.030914
kmp,28771,Union,5,0.293295
kmp,23820,Urban,5,0.085488
bmh,28791,China,5,3.23522
bmh,2984,Colon,5,0.10451
bmh,27095,Congo,5,2.91682
bmh,27706,Cuban,5,0.901302
bmh,4931,God's,5,0.591855
bmh,16622,Gross,5,1.88804
bmh,13082,House,5,1.58917
bmh,26778,India,5,2.93378
bmh,5281,Johns,5,0.652171
bmh,27403,Latin,5,3.06199
bmh,33278,Marsh,5,3.51778
bmh,20589,Monet,5,2.51319
bmh,13536,Nehru,5,1.56668
bmh,44019,Niger,5,4.86037
bmh,5359,Nixon,5,0.690861
bmh,11677,North,5,1.35678
bmh,35992,Peace,5,3.92308
bmh,565,South,5,0.134739
bmh,28771,Union,5,3.27423
bmh,23820,Urban,5,2.7089
brute,28791,China,5,1.24976
brute,2984,Colon,5,0.205157
brute,27095,Congo,5,1.18435
brute,27706,Cuban,5,1.20339
brute,4931,God's,5,0.22753
brute,16622,Gross,5,0.736437
brute,13082,House,5,0.577837
brute,26778,India,5,1.16513
brute,5281,Johns,5,0.244974
brute,27403,Latin,5,1.21565
brute,33278,Marsh,5,1.50117
brute,20589,Monet,5,0.896168
brute,13536,Nehru,5,0.630018
brute,44019,Niger,5,1.93387
brute,5359,Nixon,5,0.249016
brute,11677,North,5,0.516169
brute,35992,Peace,5,1.55376
brute,565,South,5,0.041528
brute,28771,Union,5,1.2486
brute,23820,Urban,5,1.07357
bitap,28791,China,5,0.191715
bitap,2984,Colon,5,0.080513
bitap,27095,Congo,5,0.537672
bitap,27706,Cuban,5,0.548754
bitap,4931,God's,5,0.117409
bitap,16622,Gross,5,0.365924
bitap,13082,House,5,0.271987
bitap,26778,India,5,0.56352
bitap,5281,Johns,5,0.122758
bitap,27403,Latin,5,0.570043
bitap,33278,Marsh,5,0.654963
bitap,20589,Monet,5,0.414263
bitap,13536,Nehru,5,0.279979
bitap,44019,Niger,5,0.88868
bitap,5359,Nixon,5,0.123883
bitap,11677,North,5,0.245288
bitap,35992,Peace,5,0.705101
bitap,565,South,5,0.033953
bitap,28771,Union,5,0.570269
bitap,23820,Urban,5,0.516867
rk,28791,China,5,1.92946
rk,2984,Colon,5,0.209184
rk,27095,Congo,5,1.80522
rk,27706,Cuban,5,1.8195
rk,4931,God's,5,0.330791
rk,16622,Gross,5,1.10003
rk,13082,House,5,0.900117
rk,26778,India,5,1.76318
rk,5281,Johns,5,0.441936
rk,27403,Latin,5,1.77083
rk,33278,Marsh,5,2.07422
rk,20589,Monet,5,1.35751
rk,13536,Nehru,5,0.839939
rk,44019,Niger,5,2.80796
rk,5359,Nixon,5,0.359246
rk,11677,North,5,0.743863
rk,35992,Peace,5,2.45824
rk,565,South,5,0.054779
rk,28771,Union,5,1.89055
rk,23820,Urban,5,1.53657
kmp,27083,Africa,6,0.501628
kmp,28112,Arctic,6,0.522051
kmp,4842,Boston,6,0.116457
kmp,25808,Branch,6,0.527693
kmp,13501,Church,6,0.270267
kmp,34440,Cooper,6,0.646623
kmp,37246,Easter,6,0.697981
kmp,28131,Europe,6,0.182742
kmp,378,Friday,6,0.027918
kmp,10397,Isaiah,6,0.212847
kmp,541,London,6,0.031544
kmp,33278,Marsha,6,0.606595
kmp,8532,Nation,6,0.192006
kmp,37871,Poland,6,0.736247
kmp,37704,Polish,6,0.722126
kmp,5384,Revere,6,0.122483
kmp,34342,Senate,6,0.630989
kmp,28764,Soviet,6,0.568625
kmp,5376,Truman,6,0.125706
kmp,20085,West's,6,0.378414
bmh,27083,Africa,6,2.42918
bmh,28112,Arctic,6,2.4531
bmh,4842,Boston,6,0.518148
bmh,25808,Branch,6,2.45515
bmh,13501,Church,6,1.33023
bmh,34440,Cooper,6,3.16682
bmh,37246,Easter,6,3.63673
bmh,28131,Europe,6,0.489757
bmh,378,Friday,6,0.094946
bmh,10397,Isaiah,6,1.14975
bmh,541,London,6,0.111128
bmh,33278,Marsha,6,2.80865
bmh,8532,Nation,6,0.213125
bmh,37871,Poland,6,3.54866
bmh,37704,Polish,6,3.54078
bmh,5384,Revere,6,0.253637
bmh,34342,Senate,6,1.05018
bmh,28764,Soviet,6,2.64607
bmh,5376,Truman,6,0.551186
bmh,20085,West's,6,0.719513
brute,27083,Africa,6,1.22668
brute,28112,Arctic,6,1.23349
brute,4842,Boston,6,0.227996
brute,25808,Branch,6,1.14599
brute,13501,Church,6,0.595482
brute,34440,Cooper,6,1.52458
brute,37246,Easter,6,1.61285
brute,28131,Europe,6,1.22758
brute,378,Friday,6,0.01237
brute,10397,Isaiah,6,0.491125
brute,541,London,6,0.041037
brute,33278,Marsha,6,1.43811
brute,8532,Nation,6,0.386411
brute,37871,Poland,6,1.68513
brute,37704,Polish,6,1.65085
brute,5384,Revere,6,0.251368
brute,34342,Senate,6,1.48426
brute,28764,Soviet,6,1.24545
brute,5376,Truman,6,0.248983
brute,20085,West's,6,0.879432
bitap,27083,Africa,6,0.57136
bitap,28112,Arctic,6,0.59319
bitap,4842,Boston,6,0.122041
bitap,25808,Branch,6,0.101314
bitap,13501,Church,6,0.296756
bitap,34440,Cooper,6,0.723437
bitap,37246,Easter,6,0.778916
bitap,28131,Europe,6,0.974483
bitap,378,Friday,6,0.016136
bitap,10397,Isaiah,6,0.232999
bitap,541,London,6,0.033553
bitap,33278,Marsha,6,0.698347
bitap,8532,Nation,6,0.195369
bitap,37871,Poland,6,0.791773
bitap,37704,Polish,6,0.788038
bitap,5384,Revere,6,0.131536
bitap,34342,Senate,6,0.719419
bitap,28764,Soviet,6,0.163773
bitap,5376,Truman,6,0.131714
bitap,20085,West's,6,0.381876
rk,27083,Africa,6,1.77195
rk,28112,Arctic,6,1.73489
rk,4842,Boston,6,0.326413
rk,25808,Branch,6,1.6181
rk,13501,Church,6,0.858362
rk,34440,Cooper,6,2.20452
rk,37246,Easter,6,2.4226
rk,28131,Europe,6,1.99395
rk,378,Friday,6,0.041398
rk,10397,Isaiah,6,0.69481
rk,541,London,6,0.02207
rk,33278,Marsha,6,2.17741
rk,8532,Nation,6,0.559985
rk,37871,Poland,6,2.40326
rk,37704,Polish,6,2.38204
rk,5384,Revere,6,0.381096
rk,34342,Senate,6,2.3376
rk,28764,Soviet,6,1.90139
rk,5376,Truman,6,0.360565
rk,20085,West's,6,0.318024
kmp,6263,America,7,0.025465
kmp,4856,Capitol,7,0.02089
kmp,26699,Chinese,7,0.103593
kmp,37246,Eastern,7,0.140333
kmp,5281,Johnson,7,0.02006
bmh,6263,America,7,0.098144
bmh,4856,Capitol,7,0.081669
bmh,26699,Chinese,7,0.478079
bmh,37246,Eastern,7,0.509873
bmh,5281,Johnson,7,0.15436
brute,6263,America,7,0.055105
brute,4856,Capitol,7,0.042848
brute,26699,Chinese,7,0.227544
brute,37246,Eastern,7,0.313102
brute,5281,Johnson,7,0.044606
bitap,6263,America,7,0.022942
bitap,4856,Capitol,7,0.018997
bitap,26699,Chinese,7,0.110062
bitap,37246,Eastern,7,0.149626
bitap,5281,Johnson,7,0.021269
rk,6263,America,7,0.07706
rk,4856,Capitol,7,0.057077
rk,26699,Chinese,7,0.341937
rk,37246,Eastern,7,0.4553
rk,5281,Johnson,7,0.063273
kmp,5605,Almighty,8,0.100596
kmp,6263,American,8,0.030735
kmp,8366,Americas,8,0.045771
kmp,1329,Athenian,8,0.047609
kmp,28378,Atlantic,8,0.526281
bmh,5605,Almighty,8,0.485888
bmh,6263,American,8,0.499637
bmh,8366,Americas,8,0.709565
bmh,1329,Athenian,8,0.181007
bmh,28378,Atlantic,8,1.99504
brute,5605,Almighty,8,0.059751
brute,6263,American,8,0.288864
brute,8366,Americas,8,0.378634
brute,1329,Athenian,8,0.075024
brute,28378,Atlantic,8,1.275
bitap,5605,Almighty,8,0.129485
bitap,6263,American,8,0.141646
bitap,8366,Americas,8,0.182197
bitap,1329,Athenian,8,0.05018
bitap,28378,Atlantic,8,0.562984
rk,5605,Almighty,8,0.355521
rk,6263,American,8,0.446535
rk,8366,Americas,8,0.547118
rk,1329,Athenian,8,0.102298
rk,28378,Atlantic,8,1.77173
kmp,6263,Americans,9,0.141494
kmp,1329,Athenians,9,0.045009
kmp,13501,Churchill,9,0.264483
kmp,29248,Communism,9,0.547363
kmp,26707,Communist,9,0.498595
bmh,6263,Americans,9,0.469305
bmh,1329,Athenians,9,0.173421
bmh,13501,Churchill,9,0.8043
bmh,29248,Communism,9,1.90319
bmh,26707,Communist,9,1.7644
brute,6263,Americans,9,0.285668
brute,1329,Athenians,9,0.073524
brute,13501,Churchill,9,0.597393
brute,29248,Communism,9,1.27121
brute,26707,Communist,9,1.1604
bitap,6263,Americans,9,0.141832
bitap,1329,Athenians,9,0.048123
bitap,13501,Churchill,9,0.278658
bitap,29248,Communism,9,0.584705
bitap,26707,Communist,9,0.533355
rk,6263,Americans,9,0.414852
rk,1329,Athenians,9,0.10316
rk,13501,Churchill,9,0.846974
rk,29248,Communism,9,1.77911
rk,26707,Communist,9,1.78309
kmp,26707,Communists,10,0.524521
kmp,5332,Eisenhower,10,0.120174
kmp,13463,Presidents,10,0.288946
kmp,549,Washington,10,0.03095
kmp,32143,accelerate,10,0.724629
bmh,26707,Communists,10,1.54333
bmh,5332,Eisenhower,10,0.389904
bmh,13463,Presidents,10,0.884407
bmh,549,Washington,10,0.092881
bmh,32143,accelerate,10,0.494264
brute,26707,Communists,10,1.1601
brute,5332,Eisenhower,10,0.362694
brute,13463,Presidents,10,0.533551
brute,549,Washington,10,0.041018
brute,32143,accelerate,10,0.355473
bitap,26707,Communists,10,0.48062
bitap,5332,Eisenhower,10,0.04651
bitap,13463,Presidents,10,0.284025
bitap,549,Washington,10,0.036984
bitap,32143,accelerate,10,0.64518
rk,26707,Communists,10,1.51968
rk,5332,Eisenhower,10,0.354152
rk,13463,Presidents,10,0.436621
rk,549,Washington,10,0.053812
rk,32143,accelerate,10,2.2173